t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
2.499999999999995,0.0,5.9383431524557,-0.26710424665612204,4.2306863302291635,-4.435956024961375,-3.125,0.0,2.6818729281110003,0.05280272051867424,2.7174487734985817,2.6830324505179153,3.125
2.524999999999995,0.0,4.7890438402332,-0.26675012222576716,4.217427658052254,-4.432367463624464,-3.125,0.0,2.8734053601889,0.05128589284588486,2.756238409679163,2.672969158413909,3.125
2.549999999999995,0.0,5.172108704389,-0.26845838085059226,4.281383041512292,-4.449677473522987,-3.125,0.0,2.8734053601889,0.05006390701558326,2.7874880938883213,2.6648619748638844,3.125
2.574999999999995,0.0,5.419770925200501,-0.2710910022740577,4.37994538161993,-4.476354118525218,-3.125,0.0,2.6164230811735,0.050683107407078154,2.7716533630610756,2.6689700185939462,3.125
2.5999999999999948,0.0,5.172108704389,-0.27188269621927824,4.409585309058772,-4.484376389394084,-3.125,0.0,3.0649377922668,0.048383064524138264,2.8304720596278186,2.6537105373765253,3.125
2.6249999999999947,0.0,5.363745856222001,-0.2735015772313558,4.470194388866117,-4.5007806966388095,-3.125,0.0,2.6818729281110003,0.048920558981851894,2.8167267839847567,2.657276508534452,3.125
2.6499999999999946,0.0,5.172108704389,-0.2737842799364061,4.480778326702895,-4.503645319477142,-3.125,0.0,2.8734053601889,0.04815834811950956,2.836218702924564,2.6522196713667663,3.125
2.6749999999999945,0.0,5.232846162347,-0.2743224387897526,4.500926385649515,-4.509098544475978,-3.125,0.0,2.6164230811735,0.04914795215408703,2.810911688058316,2.658785133380743,3.125
2.6999999999999944,0.0,4.9805762723111,-0.27343800354327785,4.467814040227878,-4.500136436839069,-3.125,0.0,2.8734053601889,0.04834154047508821,2.8315339487159568,2.6534350488407186,3.125
2.7249999999999943,0.0,5.9383431524557,-0.2777099171459641,4.627749935429964,-4.543424300648004,-3.125,0.0,2.6818729281110003,0.04888710640155451,2.817582262456235,2.657054569619967,3.125
2.7499999999999942,0.0,4.9805762723111,-0.27611022798780216,4.567858924036102,-4.527214343283562,-3.125,0.0,2.8734053601889,0.04813139807116658,2.8369078929947404,2.652040873067162,3.125
2.774999999999994,0.0,5.232846162347,-0.27615726279457475,4.569619999594542,-4.527690991994861,-3.125,0.0,2.6164230811735,0.04912624067176691,2.811466912963051,2.658641089998285,3.125
2.799999999999994,0.0,5.172108704389,-0.2758792184588603,4.559210316758734,-4.524873532336664,-3.125,0.0,2.8734053601889,0.04832404928329001,2.831981248681784,2.6533190046944606,3.125
2.824999999999994,0.0,5.363745856222001,-0.27665423771721986,4.588226222844734,-4.532726907542218,-3.125,0.0,2.6818729281110003,0.048873015157759644,2.817942615995356,2.6569610822021428,3.125
2.849999999999994,0.0,5.046026119248601,-0.2756170493601039,4.549394945267389,-4.522216927483907,-3.125,0.0,2.8033478440270003,0.04855722836998354,2.826018190319754,2.654866015804619,3.125
2.874999999999994,0.0,5.363745856222001,-0.27644742378990794,4.580483357019709,-4.530631242192411,-3.125,0.0,2.6818729281110003,0.04906086875839004,2.8131386603751793,2.658207384395735,3.125
2.8999999999999937,0.0,4.9805762723111,-0.27511430168048523,4.530572635489774,-4.517122526546033,-3.125,0.0,2.8734053601889,0.04827138440033109,2.833328040862649,2.652969603038401,3.125
2.9249999999999936,0.0,5.172108704389,-0.27505647440686487,4.528407764505055,-4.5165365879930075,-3.125,0.0,2.6818729281110003,0.048830587305285944,2.8190276179312197,2.656679597442575,3.125
2.9499999999999935,0.0,6.129980304288701,-0.2799810074330409,4.712776949618295,-4.566437506994493,-3.125,0.0,2.8734053601889,0.048085865189601076,2.8380722994344647,2.651738788199024,3.125
2.9749999999999934,0.0,5.606695688054001,-0.2811505537250824,4.756563054054541,-4.578288547657419,-3.125,0.0,2.6164230811735,0.04908955849812055,2.8124049814038865,2.6583977245619677,3.125
2.9999999999999933,0.0,5.5552782882999,-0.2818063533446842,4.781115376326776,-4.584933819808597,-3.125,0.0,2.6818729281110003,0.04948972424759067,2.802171594901453,2.6610525975571075,3.125
3.0249999999999932,0.0,5.363745856222001,-0.28132986867333865,4.763276247811043,-4.580105524206209,-3.125,0.0,2.8734053601889,0.04861687871088581,2.8244927599345298,2.6552617620157806,3.125
3.049999999999993,0.0,5.363745856222001,-0.28095399087799794,4.74920383318337,-4.576296718475906,-3.125,0.0,2.6818729281110003,0.04910892423143369,2.8119097440327003,2.6585262052289127,3.125
3.074999999999993,0.0,5.232846162347,-0.27997827469002984,4.712674110146501,-4.566409671797128,-3.125,0.0,2.8033478440270003,0.04874728130113419,2.8211579915071243,2.6561269093099704,3.125
3.099999999999993,0.0,5.172108704389,-0.2788934274377631,4.672058692081712,-4.555416800848681,-3.125,0.0,2.6818729281110003,0.04921397909058886,2.8092231898257447,2.659223184690436,3.125
3.124999999999993,0.0,5.172108704389,-0.2780376438599078,4.640019179537809,-4.5467450638225895,-3.125,0.0,2.8734053601889,0.04839473305738205,2.8301736617488467,2.653787951482846,3.125
3.149999999999993,0.0,5.5552782882999,-0.2793507259113983,4.689179625293057,-4.560050711641197,-3.125,0.0,2.6818729281110003,0.04892995937886045,2.8164863888585017,2.6573388748419013,3.125
